Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
Th. de Jager	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=jage007	jage007	Theo	de Jager	Th. de Jager				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Jac Heeren	13 november 1888	1888-11-13	Hertogenbosch	Hertogenbosch	19 augustus 1967	1967-08-19			https://www.dbnl.org/auteurs/auteur.php?id=heer040	heer040	Jacobus Josephus Maria	Heeren	Jac Heeren	archeoloog/historicus	Hertogenbosch	Hertogenbosch	1888-11-13	1888-11-13			8/19/1967	1967-08-19	male	Hertogenbosch	Hertogenbosch							Twintigste Eeuw	13 november 1888	1888-11-13	19 augustus 1967	1967-08-19	nl	secundair	archeoloog/historicus	
S.A. Krijn	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=krij004	krij004	S.A.	Krijn	S.A. Krijn				18xx	18xx-xx-xx					male	Amsterdam	Amsterdam			Sobibór	Sobibór	Polen	Polen	Twintigste Eeuw	13 juni 1888	1888-06-13	26 maart 1943	1943-03-26	nl	secundair	leraar/docent/hoogleraar	
W. Govaart	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=gova006	gova006	W.	Govaart	W. Govaart				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
F. den Eerzamen	29 juli 1882	1882-07-29	Goedereede	Goedereede	26 april 1968	1968-04-26	Wassenaar	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=eerz001	eerz001	Flip	den Eerzamen	F. den Eerzamen	onderwijzer (basisschool)	Goedereede	Goedereede	1882-07-29	1882-07-29	Wassenaar	Wassenaar	4/26/1968	1968-04-26	male	Goedereede	Goedereede			Wassenaar	Wassenaar			Twintigste Eeuw	29 juli 1882	1882-07-29	26 april 1968	1968-04-26		taalkunde	onderwijzer (basisschool)	
K. Kooiman	26 december 1882	1882-12-26	Oudshoorn	Oudshoorn	21 september 1969	1969-09-21	Middelburg	Middelburg	https://www.dbnl.org/auteurs/auteur.php?id=kooi011	kooi011	K.	Kooiman	K. Kooiman		Oudshoorn	Oudshoorn	1882-12-26	1882-12-26	Middelburg	Middelburg	9/21/1969	1969-09-21	male	Oudshoorn	Oudshoorn			Middelburg	Middelburg			Twintigste Eeuw	26 december 1882	1882-12-26	21 september 1969	1969-09-21		secundair		
Karel Lantermans	1878	1878-xx-xx			1945	1945-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=lant005	lant005	Karel	Lantermans	Karel Lantermans	leraar/docent/hoogleraar			1878	1878-xx-xx			1945	1945-xx-xx	male									Twintigste Eeuw	1878	1878-xx-xx	1945	1945-xx-xx		taalkunde/jeugdliteratuur	leraar/docent/hoogleraar	
K. Blokhuis	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=blok017	blok017	K.	Blokhuis	K. Blokhuis				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
J. Hoeksma	1 april 1865	1865-04-01	Drogeham	Drogeham	4 augustus 1931	1931-08-04	Amsterdam (?)	Amsterdam?	https://www.dbnl.org/auteurs/auteur.php?id=hoek033	hoek033	J.	Hoeksma	J. Hoeksma		Drogeham	Drogeham	1865-04-01	1865-04-01	Amsterdam	Amsterdam	8/4/1931	1931-08-04	male	Drogeham	Drogeham			Amsterdam?	Amsterdam?			Twintigste Eeuw	1 april 1865	1865-04-01	4 augustus 1931	1931-08-04		secundair		
P. Koster	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kost017	kost017	P.	Koster	P. Koster				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
J.J. le Roux	1888	1888-xx-xx			1946	1946-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=roux003	roux003	Jacobus Johannes	le Roux	J.J. le Roux				1888	1888-xx-xx			1946	1946-xx-xx	male									Twintigste Eeuw	1888	1888-xx-xx	1946	1946-xx-xx		taalkunde/zuidafrika		
F.A. Stoett	5 mei 1863	1863-05-05	Leeuwarden	Leeuwarden	27 april 1936	1936-04-27	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=stoe002	stoe002	Frederik August	Stoett	F.A. Stoett	leraar/docent/hoogleraar	Leeuwarden	Leeuwarden	1863-05-05	1863-05-05	Nijmegen	Nijmegen	4/27/1936	1936-04-27	male	Leeuwarden	Leeuwarden			Nijmegen	Nijmegen			19e/20e Eeuw	5 mei 1863	1863-05-05	27 april 1936	1936-04-27	nl	taalkunde	leraar/docent/hoogleraar	
K.W. de Groot	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=groo063	groo063	K.W.	de Groot	K.W. de Groot				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Wobbe de Vries	11 maart 1863	1863-03-11	Noordhorn	Noordhorn	6 februari 1942	1942-02-06	Groningen	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=vrie056	vrie056	Wobbe	de Vries	Wobbe de Vries		Noordhorn	Noordhorn	1863-03-11	1863-03-11	Groningen	Groningen	2/6/1942	1942-02-06	male	Noordhorn	Noordhorn			Groningen	Groningen			19e/20e Eeuw	11 maart 1863	1863-03-11	6 februari 1942	1942-02-06	nl	taalkunde		
G.E. Opstelten	16 augustus 1889	1889-08-16	Amsterdam	Amsterdam	10 februari 1927	1927-02-10	Haarlem	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=opst001	opst001	Gerard Elise	Opstelten	G.E. Opstelten		Amsterdam	Amsterdam	1889-08-16	1889-08-16	Haarlem	Haarlem	2/10/1927	1927-02-10	male	Amsterdam	Amsterdam			Haarlem	Haarlem			Twintigste Eeuw	16 augustus 1889	1889-08-16	10 februari 1927	1927-02-10	nl	secundair/jeugdliteratuur/nonfictie		
R. Kaltofen	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kalt005	kalt005	R.	Kaltofen	R. Kaltofen				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx			de	secundair		
J.M. van der Hoogt	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hoog061	hoog061	J.M.	van der Hoogt	J.M. van der Hoogt				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
Abraham Kuyper	29 oktober 1837	1837-10-29	Maassluis	Maassluis	8 november 1920	1920-11-08	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=kuyp002	kuyp002	Abraham	Kuyper	Abraham Kuyper	onderwijzer (basisschool)/staatsman/bestuurder/politicus	Maassluis	Maassluis	1837-10-29	1837-10-29	Den Haag	Den Haag	11/8/1920	1920-11-08	male	Maassluis	Maassluis			Den Haag	Den Haag			19e/20e Eeuw	29 oktober 1837	1837-10-29	8 november 1920	1920-11-08	nl		onderwijzer (basisschool)/staatsman/bestuurder/politicus	
J. van der Baan	31 januari 1750	1750-01-31	Zierikzee	Zierikzee	31 augustus 1826	1826-08-31			https://www.dbnl.org/auteurs/auteur.php?id=baan003	baan003	Jacobus van der Baan	van der Baan	J. van der Baan	apotheker/medicus	Zierikzee	Zierikzee	1750-01-31	1750-01-31			1826-08-31	1826-08-31	male	Zierikzee	Zierikzee							Negentiende Eeuw	31 januari 1750	1750-01-31	31 augustus 1826	1826-08-31		secundair	apotheker/medicus	
Erik Wellander	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=well008	well008	Erik	Wellander	Erik Wellander				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
P.H. Greiner	1900	1900-xx-xx			1952	1952-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=grei004	grei004	P.H.	Greiner	P.H. Greiner	leraar/docent/hoogleraar			1900	1900-xx-xx			1952	1952-xx-xx	male									Twintigste Eeuw	1900	1900-xx-xx	1952	1952-xx-xx		secundair	leraar/docent/hoogleraar	
D.B. Bosman	30 januari 1888	1888-01-30	Boshof	Boshof	7 mei 1960	1960-05-07	Somerset-West	Somerset-West	https://www.dbnl.org/auteurs/auteur.php?id=bosm005	bosm005	Daniel Brink	Bosman	D.B. Bosman				1888-01-30	1888-01-30			5/7/1960	1960-05-07	male	Boshof	Boshof	Zuid-Afrika	Zuid-Afrika	Somerset-West	Somerset-West	Zuid-Afrika	Zuid-Afrika	Twintigste Eeuw	30 januari 1888	1888-01-30	7 mei 1960	1960-05-07	af	taalkunde/zuidafrika		
Elisabeth Jongejan	3 oktober 1894	1894-10-03	Amsterdam	Amsterdam	6 januari 1957	1957-01-06	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=jong124	jong124	Elisabeth	Jongejan	Elisabeth Jongejan	leraar/docent/hoogleraar	Amsterdam	Amsterdam	1894-10-03	1894-10-03	Amsterdam	Amsterdam	1/6/1957	1957-01-06	female	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Twintigste Eeuw	3 oktober 1894	1894-10-03	6 januari 1957	1957-01-06	nl	secundair	leraar/docent/hoogleraar	
H.H. Knippenberg	12 september 1879	1879-09-12	Maastricht	Maastricht	17 december 1964	1964-12-17	Helmond	Helmond	https://www.dbnl.org/auteurs/auteur.php?id=knip001	knip001	Herman Hubert	Knippenberg	H.H. Knippenberg	leraar/archeoloog/hoogleraar/docent/historicus	Maastricht	Maastricht	1879-09-12	1879-09-12	Helmond	Helmond	12/17/1964	1964-12-17	male	Maastricht	Maastricht			Helmond	Helmond			Twintigste Eeuw	12 september 1879	1879-09-12	17 december 1964	1964-12-17	nl	secundair/jeugdliteratuur/limburg	leraar/archeoloog/hoogleraar/docent/historicus	
E.C. Pienaar	13 december 1882	1882-12-13	Hoëkraal (district Potchefstroom)	Hoëkraal	11 juni 1949	1949-06-11	Stellenbosch	Stellenbosch	https://www.dbnl.org/auteurs/auteur.php?id=pien004	pien004	E.C.	Pienaar	E.C. Pienaar				1882-12-13	1882-12-13			6/11/1949	1949-06-11	male	Hoëkraal (district Potchefstroom)	Hoëkraal	Zuid-Afrika	Zuid-Afrika	Stellenbosch	Stellenbosch	Zuid-Afrika	Zuid-Afrika	Twintigste Eeuw	13 december 1882	1882-12-13	11 juni 1949	1949-06-11	af	taalkunde/zuidafrika		
L.P.H. Eykman	27 november 1854	1854-11-27	Nijkerk	Nijkerk	28 november 1937	1937-11-28	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=eykm002	eykm002	Leonard Pieter Hendrik	Eykman	L.P.H. Eykman	leraar/luthers predikant	Nijkerk	Nijkerk	1854-11-27	1854-11-27	Den Haag	Den Haag	11/28/1937	1937-11-28	male	Nijkerk	Nijkerk			Den Haag	Den Haag			19e/20e Eeuw	27 november 1854	1854-11-27	28 november 1937	1937-11-28	nl	secundair	leraar/luthers predikant	
Marten Jan van der Meer	1864	1864-xx-xx			1931	1931-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=meer005	meer005	Marten Jan	van der Meer	Marten Jan van der Meer	leraar/docent/hoogleraar			1864	1864-xx-xx			1931	1931-xx-xx	male									19e/20e Eeuw	1864	1864-xx-xx	1931	1931-xx-xx		taalkunde	leraar/docent/hoogleraar	
G.A. Brands	1883	1883-xx-xx			1958	1958-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=bran055	bran055	Gerrit Albertus	Brands	G.A. Brands		Zutphen	Zutphen	1883	1883-xx-xx			1958	1958-xx-xx	male	Zutphen	Zutphen							Twintigste Eeuw	1883	1883-xx-xx	1958	1958-xx-xx	nl	secundair/taalkunde		
K.H. de Raaf	1871	1871-xx-xx			1948	1948-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=raaf001	raaf001	Kornelis Herman	de Raaf	K.H. de Raaf				1871	1871-xx-xx			1948	1948-xx-xx	male									19e/20e Eeuw	1871	1871-xx-xx	1948	1948-xx-xx		secundair		
Andries Borgeld	26 december 1868	1868-12-26	Sappemeer	Sappemeer	6 april 1929	1929-04-06	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=borg014	borg014	Andries	Borgeld	Andries Borgeld	leraar/docent/hoogleraar	Sappemeer	Sappemeer	1868-12-26	1868-12-26	Amsterdam	Amsterdam	4/6/1929	1929-04-06	male	Sappemeer	Sappemeer			Amsterdam	Amsterdam			19e/20e Eeuw	26 december 1868	1868-12-26	6 april 1929	1929-04-06	nl	taalkunde	leraar/docent/hoogleraar	
J.M.G. Evers	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=ever026	ever026	J.M.G.	Evers	J.M.G. Evers				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Maria Simon Thomas	16 september 1901	1901-09-16	Rotterdam	Rotterdam	22 november 1955	1955-11-22	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=simo024	simo024	Maria	Simon Thomas	Maria Simon Thomas		Rotterdam	Rotterdam	9/16/1901	1901-09-16	Amsterdam	Amsterdam	11/22/1955	1955-11-22	female	Rotterdam	Rotterdam			Amsterdam	Amsterdam			Twintigste Eeuw	16 september 1901	1901-09-16	22 november 1955	1955-11-22	nl	secundair		
Tj. Sterringa	1876	1876-xx-xx			1949	1949-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=ster023	ster023	Tjesse	Sterringa	Tj. Sterringa				1876	1876-xx-xx			1949	1949-xx-xx	male									Twintigste Eeuw	1876	1876-xx-xx	1949	1949-xx-xx		secundair		
G. Beumer	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=beum002	beum002	G.	Beumer	G. Beumer				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
W. van den Ent	19de eeuw	18xx-xx-xx			1954	1954-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=ent_003	ent_003	Willem	van den Ent	W. van den Ent				18xx	18xx-xx-xx			1954	1954-xx-xx	male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx	1954	1954-xx-xx		secundair/nonfictie		
Hendrikus Pomes	19de eeuw	18xx-xx-xx			?				https://www.dbnl.org/auteurs/auteur.php?id=pome002	pome002	Hendrikus	Pomes	Hendrikus Pomes				18xx	18xx-xx-xx			000?		male									Negentiende Eeuw	?(19de eeuw)	18xx-xx-xx	?			secundair		
W.L. Bezema	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=beze002	beze002	W.L.	Bezema	W.L. Bezema				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Reind Kuitert	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kuit006	kuit006	Reind	Kuitert	Reind Kuitert	onderwijzer (basisschool)			18xx	18xx-xx-xx			000?		male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx	?			taalkunde	onderwijzer (basisschool)	
W. Kraak	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kraa011	kraa011	W.	Kraak	W. Kraak				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
Luc Salu	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=salu001	salu001	Luc	Salu	Luc Salu				19xx	19xx-xx-xx					male									20e/21e Eeuw	?(20ste eeuw)	19xx-xx-xx			nl	nonfictie		
L. Koch	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=koch008	koch008	L.	Koch	L. Koch				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Th.B.F. Hoyer	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hoye002	hoye002	Theodoor Boudewijn Franciscus	Hoyer	Th.B.F. Hoyer				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
L.J.J. Olivier	1902	1902-xx-xx			28 juli 1996	1996-07-28			https://www.dbnl.org/auteurs/auteur.php?id=oliv007	oliv007	Leendert Johannes Joseph	Olivier	L.J.J. Olivier				1902	1902-xx-xx			7/28/1996	1996-07-28	male									Twintigste Eeuw	1902	1902-xx-xx	28 juli 1996	1996-07-28		secundair		
R. Pennink	1884	1884-xx-xx			1985	1985-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=penn009	penn009	Renetta	Pennink	R. Pennink				1884	1884-xx-xx			1985	1985-xx-xx	female									Twintigste Eeuw	1884	1884-xx-xx	1985	1985-xx-xx	nl	secundair		
J. van Rijckevorsel	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=rijc014	rijc014	J.	van Rijckevorsel	J. van Rijckevorsel				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
J.C. van der Does	1877	1877-xx-xx			1956	1956-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=does015	does015	Johannes Cornelis	van der Does	J.C. van der Does				1877	1877-xx-xx			1956	1956-xx-xx	male									Twintigste Eeuw	1877	1877-xx-xx	1956	1956-xx-xx	nl	secundair/jeugdliteratuur		
A. Kuiper	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kuip031	kuip031	A.	Kuiper	A. Kuiper				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair		
A.J. Schneiders	7 maart 1894	1894-03-07	Obdam	Obdam	1 juli 1984	1984-07-01	Obdam	Obdam	https://www.dbnl.org/auteurs/auteur.php?id=schn008	schn008	Arnold Jan	Schneiders	A.J. Schneiders		Obdam	Obdam	1894-03-07	1894-03-07	Obdam	Obdam	7/1/1984	1984-07-01	male	Obdam	Obdam			Obdam	Obdam			Twintigste Eeuw	7 maart 1894	1894-03-07	1 juli 1984	1984-07-01	nl	secundair	leraar/docent/hoogleraar	
J. Hovy	1875	1875-xx-xx			1956	1956-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=hovy001	hovy001	Jean Antonie Louis	Hovy	J. Hovy	herv./leraar/geref. predikant			1875	1875-xx-xx			1956	1956-xx-xx	male									Twintigste Eeuw	1875	1875-xx-xx	1956	1956-xx-xx		secundair	herv./leraar/geref. predikant	
René van Sint-Jan	2 juni 1887	1887-06-02	Buizingen	Buizingen	26 oktober 1970	1970-10-26	Gent	Gent	https://www.dbnl.org/auteurs/auteur.php?id=sint002	sint002	René	van Sint-Jan	René van Sint-Jan	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Buizingen	Buizingen	1887-06-02	1887-06-02	Gent	Gent	10/26/1970	1970-10-26	male	Buizingen	Buizingen			Gent	Gent			Twintigste Eeuw	2 juni 1887	1887-06-02	26 oktober 1970	1970-10-26		secundair	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	
M. Buisman J. Fzn.	21 oktober 1891	1891-10-21	Rheden	Rheden	5 april 1986	1986-04-05	Heerde	Heerde	https://www.dbnl.org/auteurs/auteur.php?id=buis006	buis006	Michiel	Buisman J. Fzn.	M. Buisman J. Fzn.		Rheden	Rheden	1891-10-21	1891-10-21	Heerde	Heerde	4/5/1986	1986-04-05	male	Rheden	Rheden			Heerde	Heerde			Twintigste Eeuw	21 oktober 1891	1891-10-21	5 april 1986	1986-04-05	nl	secundair		
Jacob Hiegentlich	30 april 1907	1907-04-30	Roermond	Roermond	18 mei 1940	1940-05-18	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hieg001	hieg001	Jacob	Hiegentlich	David Josua de Castro/Jacob Hiegentlich	leraar/docent/hoogleraar	Roermond	Roermond	4/30/1907	1907-04-30	Amsterdam	Amsterdam	5/18/1940	1940-05-18	male	Roermond	Roermond			Amsterdam	Amsterdam			Twintigste Eeuw	30 april 1907	1907-04-30	18 mei 1940	1940-05-18	nl	limburg	leraar/docent/hoogleraar	
W.G.J.A. Jacob	19de eeuw	18xx-xx-xx	Grave	Grave					https://www.dbnl.org/auteurs/auteur.php?id=jaco048	jaco048	Wilhelmus Gerardus Josephus Antonius	Jacob	W.G.J.A. Jacob		Grave	Grave	18xx	18xx-xx-xx					male	Grave	Grave							Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				taalkunde		
G.J. Uitman	1901	1901-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=uitm001	uitm001	G.J.	Uitman	G.J. Uitman				1901	1901-xx-xx					male									Twintigste Eeuw	1901	1901-xx-xx			nl	taalkunde		
F.C. Driessen	10 september 1906	1906-09-10	Arnhem	Arnhem	31 januari 1963	1963-01-31	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=drie024	drie024	Frederik Christoffel	Driessen	F.C. Driessen	leraar/docent/hoogleraar	Arnhem	Arnhem	9/10/1906	1906-09-10	Utrecht	Utrecht	1/31/1963	1963-01-31	male	Arnhem	Arnhem			Utrecht	Utrecht			Twintigste Eeuw	10 september 1906	1906-09-10	31 januari 1963	1963-01-31		taalkunde	leraar/docent/hoogleraar	
F. Jansonius	1902	1902-xx-xx			1989	1989-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=jans030	jans030	Freerk	Jansonius	F. Jansonius				1902	1902-xx-xx			1989	1989-xx-xx	male									Twintigste Eeuw	1902	1902-xx-xx	1989	1989-xx-xx		secundair		
Dirk Gerhardus Muller	28 februari 1796	1796-02-28	Hengelo	Hengelo	19 april 1866	1866-04-19	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=mull020	mull020	Dirk Gerhardus	Muller	Dirk Gerhardus Muller		Hengelo	Hengelo	1796-02-28	1796-02-28	Den Haag	Den Haag	1866-04-19	1866-04-19	male	Hengelo	Hengelo			Den Haag	Den Haag			Negentiende Eeuw	28 februari 1796	1796-02-28	19 april 1866	1866-04-19	nl			
Marie H. van der Zeyde	1905	1905-xx-xx			1990	1990-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=zeyd001	zeyd001	Marie H.	van der Zeyde	Marie H. van der Zeyde				1905	1905-xx-xx			1990	1990-xx-xx	female									Twintigste Eeuw	1905	1905-xx-xx	1990	1990-xx-xx		secundair		
Ulfert Schults jr.	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=schu070	schu070	Ulfert	Schults jr.	Ulfert Schults jr.				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Roelof Schokker	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=scho142	scho142	Roelof	Schokker	Roelof Schokker				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
Lodewijk Maerevoet	1903	1903-xx-xx			1984	1984-xx-xx	Muiden	Muiden	https://www.dbnl.org/auteurs/auteur.php?id=maer001	maer001	Lodewijk	Maerevoet	Lodewijk Maerevoet	onderwijzer (basisschool)			1903	1903-xx-xx	Muiden	Muiden	1984	1984-xx-xx	male					Muiden	Muiden			Twintigste Eeuw	1903	1903-xx-xx	1984	1984-xx-xx	nl	jeugdliteratuur	onderwijzer (basisschool)	
Franz Staude	24 april 1886	1886-04-24	Wenen	Wenen	14 juni 1947	1947-06-14	Klosterneuburg	Klosterneuburg	https://www.dbnl.org/auteurs/auteur.php?id=stau003	stau003	Franz	Staude	Franz Staude				1886-04-24	1886-04-24			6/14/1947	1947-06-14	male	Wenen	Wenen	Oostenrijk	Oostenrijk	Klosterneuburg	Klosterneuburg	Oostenrijk	Oostenrijk	Twintigste Eeuw	24 april 1886	1886-04-24	14 juni 1947	1947-06-14	de			
L.M. van Dis	21 mei 1904	1904-05-21	Zaamslag	Zaamslag	13 juni 1973	1973-06-13	Naarden	Naarden	https://www.dbnl.org/auteurs/auteur.php?id=dis_002	dis_002	Leendert Meeuwis	van Dis	L.M. van Dis	leraar/docent/hoogleraar	Zaamslag	Zaamslag	5/21/1904	1904-05-21	Naarden	Naarden	6/13/1973	1973-06-13	male	Zaamslag	Zaamslag			Naarden	Naarden			Twintigste Eeuw	21 mei 1904	1904-05-21	13 juni 1973	1973-06-13	nl	secundair	leraar/docent/hoogleraar	
Anton Reichling	9 juli 1898	1898-07-09	Nijmegen	Nijmegen	25 mei 1986	1986-05-25	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=reic003	reic003	Anton Joannes Bernardus Nicolaas	Reichling	Anton Reichling		Nijmegen	Nijmegen	1898-07-09	1898-07-09	Amsterdam	Amsterdam	5/25/1986	1986-05-25	male	Nijmegen	Nijmegen			Amsterdam	Amsterdam			Twintigste Eeuw	9 juli 1898	1898-07-09	25 mei 1986	1986-05-25	nl	taalkunde		
Jan van Dam	3 oktober 1896	1896-10-03	Amsterdam	Amsterdam	30 oktober 1979	1979-10-30	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=dam_012	dam_012	Jan	van Dam	Jan van Dam		Amsterdam	Amsterdam	1896-10-03	1896-10-03	Amsterdam	Amsterdam	10/30/1979	1979-10-30	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Twintigste Eeuw	3 oktober 1896	1896-10-03	30 oktober 1979	1979-10-30		secundair/taalkunde		
H. van Wichert	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=wich006	wich006	H.	van Wichert	H. van Wichert				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				secundair		
C. Wilkeshuis	9 december 1896	1896-12-09	Harlingen	Harlingen	30 april 1982	1982-04-30	Deventer	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=wilk003	wilk003	Cornelis (Cees)	Wilkeshuis	C. Wilkeshuis	onderwijzer (basisschool)	Harlingen	Harlingen	1896-12-09	1896-12-09	Deventer	Deventer	4/30/1982	1982-04-30	male	Harlingen	Harlingen			Deventer	Deventer			Twintigste Eeuw	9 december 1896	1896-12-09	30 april 1982	1982-04-30	nl	jeugdliteratuur	onderwijzer (basisschool)	
Riemer Reinsma	1941	1941-xx-xx	Zaandam	Zaandam					https://www.dbnl.org/auteurs/auteur.php?id=rein006	rein006	Riemer	Reinsma	Riemer Reinsma		Zaandam	Zaandam	1941	1941-xx-xx					male	Zaandam	Zaandam							20e/21e Eeuw	1941	1941-xx-xx	8 juni 2022	2022-06-08		nonfictie		
A.R. Hol	9 mei 1895	1895-05-09	Ingen	Ingen	13 maart 1965	1965-03-13	Ingen	Ingen	https://www.dbnl.org/auteurs/auteur.php?id=hol_001	hol_001	Adriana Roelandina	Hol	A.R. Hol	onderwijzer (basisschool)	Ingen	Ingen	1895-05-09	1895-05-09	Ingen	Ingen	3/13/1965	1965-03-13	female	Ingen	Ingen			Ingen	Ingen			Twintigste Eeuw	9 mei 1895	1895-05-09	13 maart 1965	1965-03-13	nl	taalkunde	onderwijzer (basisschool)	
