Author	DOB	POB	DOD	POD	Link	identifier
Jacob Cornelis van Slee	23 september 1841	Hillegom	21 november 1929	Diepenveen	https://www.dbnl.org/auteurs/auteur.php?id=slee005	slee005
M.A. Gooszen	30 april 1837	Eibergen	28 januari 1916	Lochem	https://www.dbnl.org/auteurs/auteur.php?id=goos010	goos010
P. Feenstra jr.	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=feen005	feen005
J.G.C. Joosting	17 april 1866	Purmerend	18 april 1944	Velp	https://www.dbnl.org/auteurs/auteur.php?id=joos011	joos011
J.T. Cremer	30 juni 1847		14 augustus 1923	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=crem004	crem004
J.J. Tavenraat	10 december 1843	Kleef	11 augustus 1913	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=tave005	tave005
Willem Polman Kruseman	14 december 1849	Middelburg	9 december 1918		https://www.dbnl.org/auteurs/auteur.php?id=polm003	polm003
Jan te Winkel	16 november 1847	Winkel	31 mei 1927	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wink002	wink002
G.H. Leignes Bakhoven	1845	Utrecht	1906	Goes	https://www.dbnl.org/auteurs/auteur.php?id=leig002	leig002
J.M.L. Keuller	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=keul007	keul007
Rijke de Wolf	1954				https://www.dbnl.org/auteurs/auteur.php?id=wolf012	wolf012
J.S. van Veen	1858		1934		https://www.dbnl.org/auteurs/auteur.php?id=veen040	veen040
L.H. Slotemaker	13 februari 1830	Maassluis	7 augustus 1911		https://www.dbnl.org/auteurs/auteur.php?id=slot009	slot009
R.A. van Sandick	1855		1933		https://www.dbnl.org/auteurs/auteur.php?id=sand019	sand019
Thérèse Hoven	1860	Den Haag	11 december 1941		https://www.dbnl.org/auteurs/auteur.php?id=hove006	hove006
J.E. Heeres	30 mei 1858	Zuidhorn	16 februari 1932		https://www.dbnl.org/auteurs/auteur.php?id=heer031	heer031
Johannes de Hullu	12 december 1864	Cadzand	20 november 1940		https://www.dbnl.org/auteurs/auteur.php?id=hull006	hull006
Tj. Kielstra	27 april 1852	Bolsward	1936		https://www.dbnl.org/auteurs/auteur.php?id=kiel002	kiel002
Ludolf Willem Bakhuizen van den Brink	1862		1936		https://www.dbnl.org/auteurs/auteur.php?id=bakh005	bakh005
Ernst Wilhelm Moes	5 september 1864	Amsterdam	30 oktober 1912	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=moes003	moes003
Frederik Pijper	9 januari 1859	Hoogwoud	26 februari 1926	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=pijp003	pijp003
W.A. Arriëns	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=arri002	arri002
F.A. van den Heuvel	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=heuv019	heuv019
J. Baart de la Faille	1886		1959		https://www.dbnl.org/auteurs/auteur.php?id=baar009	baar009
J.H.W. Leliman	1878		1912		https://www.dbnl.org/auteurs/auteur.php?id=leli001	leli001
W.W. van der Meulen	10 juni 1868	Leeuwarden	27 maart 1944	Lochem	https://www.dbnl.org/auteurs/auteur.php?id=meul031	meul031
Is. van Dijk	20 maart 1847	Dussen	25 december 1922	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=dijk038	dijk038
Hotse Brongersma	1840		1922		https://www.dbnl.org/auteurs/auteur.php?id=bron015	bron015
R.W.P. de Vries	1 mei 1841		25 september 1919		https://www.dbnl.org/auteurs/auteur.php?id=vrie045	vrie045
L.J.J. Hageraats	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hage019	hage019
J.C. Vollgraff	3 januari 1848	Den Haag	6 februari 1920	Utrecht?	https://www.dbnl.org/auteurs/auteur.php?id=voll011	voll011
J.C.G. Jonker	1857		1919		https://www.dbnl.org/auteurs/auteur.php?id=jonk009	jonk009
A.P.Th. Eyssell	19 januari 1837	Den Haag	23 maart 1921	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=eyss003	eyss003
P.J.F. du Bois					https://www.dbnl.org/auteurs/auteur.php?id=bois004	bois004
M.Th. Houtsma	1851		1943		https://www.dbnl.org/auteurs/auteur.php?id=hout034	hout034
H.J. Calkoen	1855	Sint Maarten	1937		https://www.dbnl.org/auteurs/auteur.php?id=calk004	calk004
Jacob Domela Nieuwenhuis	19 februari 1836	Monnickendam	14 augustus 1924		https://www.dbnl.org/auteurs/auteur.php?id=nieu036	nieu036
Y.H. Rogge	1865		1953		https://www.dbnl.org/auteurs/auteur.php?id=rogg016	rogg016
Daniel de Swaef	12 september (gedoopt) 1599	Middelburg	26 januari 1654	Middelburg	https://www.dbnl.org/auteurs/auteur.php?id=swae009	swae009
L.J. Sicking	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=sick006	sick006
D.A. van Heyst	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=heys009	heys009
C.H. van Rhijn	22 juli 1849	Delft	16 februari 1913		https://www.dbnl.org/auteurs/auteur.php?id=rhij003	rhij003
Philip Christiaan Molhuyzen	2 november 1793	Maastricht	5 april 1865	Kampen	https://www.dbnl.org/auteurs/auteur.php?id=molh002	molh002
J.C. Jansen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=jans096	jans096
Alexander Frederik de Savornin Lohman	29 mei 1837	Groningen	1924		https://www.dbnl.org/auteurs/auteur.php?id=savo002	savo002
A.O. van Kerkwijk	1873		1957		https://www.dbnl.org/auteurs/auteur.php?id=kerk011	kerk011
Willem Draaijer	26 december 1847	Deventer	13 juli 1933	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=draa002	draa002
Eppe Wiersum	6 december 1869	Uithuizen	25 december 1955		https://www.dbnl.org/auteurs/auteur.php?id=wier025	wier025
J.P. Lotsy	1867		1931		https://www.dbnl.org/auteurs/auteur.php?id=lots001	lots001
S. Cramer	3 juli 1842	Middelburg	30 januari 1913	Amsterdam?	https://www.dbnl.org/auteurs/auteur.php?id=cram011	cram011
H. Rogaar	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=roga001	roga001
E.C. Godée Molsbergen	18 september 1875	Utrecht	8 maart 1940	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=gode006	gode006
J.H. Abendanon	14 oktober 1852	Paramaribo	13 december 1925	Monaco	https://www.dbnl.org/auteurs/auteur.php?id=aben001	aben001
Jan C. de Vos	8 juli 1855	Den Haag	1931		https://www.dbnl.org/auteurs/auteur.php?id=vos_014	vos_014
F. van Gheel Gildemeester	1855		1929		https://www.dbnl.org/auteurs/auteur.php?id=ghee005	ghee005
Seerp Gratama	14 december 1858	Groningen	22 mei 1923	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=grat003	grat003
G. Fuldauer	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=fuld001	fuld001
J. van Kuyk	1883		1949		https://www.dbnl.org/auteurs/auteur.php?id=kuyk004	kuyk004
S.P. Haak	17 juli 1876		9 februari 1937		https://www.dbnl.org/auteurs/auteur.php?id=haak009	haak009
A.F.O. Sasse van Ysselt	10 april 1852	Waalwijk	6 augustus 1939	Interlaken	https://www.dbnl.org/auteurs/auteur.php?id=sass010	sass010
D.A. van Waalwijk	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=waal015	waal015
Johanna Snellen	30 oktober 1870	Delft	18 april 1943	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=snel004	snel004
A.A. van Schelven	11 november 1880	Haarlem	19 mei 1954	Aerdenhout	https://www.dbnl.org/auteurs/auteur.php?id=sche033	sche033
G.E.W. van Hille	23 november 1872	Zaandam	15 april 1944	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=hill013	hill013
E.J. van der Brugh	1877		1947		https://www.dbnl.org/auteurs/auteur.php?id=brug033	brug033
G.D.A. Jonckbloet	28 augustus 1848	Eindhoven	5 april 1926	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=jonc002	jonc002
R. van der Meulen Rz.	1882		1972		https://www.dbnl.org/auteurs/auteur.php?id=meul129	meul129
Th. Morren	1867	Utrecht	31 mei 1920	Batavia	https://www.dbnl.org/auteurs/auteur.php?id=morr005	morr005
Hendrik Blink	12 februari 1852	De Wijk	26 december 1931		https://www.dbnl.org/auteurs/auteur.php?id=blin002	blin002
Charles René Bakhuizen van den Brink	6 januari 1850	Elsene	12 mei 1923	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bakh006	bakh006
P. Albers S.J.	1856		1932		https://www.dbnl.org/auteurs/auteur.php?id=albe022	albe022
Marinus Willem de Visser	23 oktober 1875	Stavenisse	7 oktober 1930		https://www.dbnl.org/auteurs/auteur.php?id=viss055	viss055
B.J.F. Varenhorst	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=vare005	vare005
H.J. Romeijn	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=rome011	rome011
Joseph van Wely, O.P.	1882		1963		https://www.dbnl.org/auteurs/auteur.php?id=wely001	wely001
F.J. Kruitwagen	22 oktober 1874	Rotterdam	11 mei 1954	Venray	https://www.dbnl.org/auteurs/auteur.php?id=krui011	krui011
Martinus Beversluis	1856		1948	Dordrecht	https://www.dbnl.org/auteurs/auteur.php?id=beve012	beve012
E.A.A. van Heekeren	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=heek003	heek003
E. Zuidema	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=zuid001	zuid001
H.H. Juynboll	1867		1945		https://www.dbnl.org/auteurs/auteur.php?id=juyn001	juyn001
Vincent Loosjes	24 november 1855	Amsterdam	19 september 1932	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=loos010	loos010
Ant. Averkamp	1861	Cabauw	1934	Bussum	https://www.dbnl.org/auteurs/auteur.php?id=aver002	aver002
Joh. A. Leopold	20 mei 1846	Groningen	23 januari 1922	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=leop008	leop008
Reinier van der Meulen Rz.	1882	Rotterdam	1972		https://www.dbnl.org/auteurs/auteur.php?id=meul013	meul013
Jos. Jacobson	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=jaco042	jaco042
Jan Kalff Jr.	1865		1944		https://www.dbnl.org/auteurs/auteur.php?id=kalf009	kalf009
Frederic Adolph Hoefer	14 april 1850	Sittard	7 oktober 1938	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=hoef007	hoef007
M.G. Wildeman	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=wild017	wild017
Th.P.H. van Aalst	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=aals004	aals004
C.W.A. van Haersolte van den Doorn	1845		1925		https://www.dbnl.org/auteurs/auteur.php?id=haer008	haer008
H.M. van Nes	31 maart 1862	Oostvoorne	18 augustus 1946	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=nes_002	nes_002
Willem Vogelsang	1875		1954		https://www.dbnl.org/auteurs/auteur.php?id=voge018	voge018
Klaas Uilkema	2 oktober 1873	Grouw	3 februari 1944	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=uilk002	uilk002
L.W.A.M. Lasonder	23 februari 1879	Middelburg	1 april 1958	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=laso002	laso002
E.T. Kuiper	9 augustus 1862	Zwolle	4 februari 1924		https://www.dbnl.org/auteurs/auteur.php?id=kuip019	kuip019
Jan Leendert van Dalen	10 maart 1864	Dirksland	1936		https://www.dbnl.org/auteurs/auteur.php?id=dale014	dale014
J.G.L. Nolst Trenité	1863		1941		https://www.dbnl.org/auteurs/auteur.php?id=nols001	nols001
G.F. de Bruyn Kops	20 augustus 1820	Haarlem	1881	Batavia	https://www.dbnl.org/auteurs/auteur.php?id=bruy028	bruy028
E.M. Meijers	10 januari 1880	Den Helder	25 juni 1954	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=meij045	meij045
Adriaan Beets	28 juli 1860	Utrecht	24 december 1937	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=beet002	beet002
A.C.S. de Koe	23 maart 1883	Utrecht	1977	Noordwijk	https://www.dbnl.org/auteurs/auteur.php?id=koe_001	koe_001
E.C. van Leersum	12 februari 1862	Utrecht	15 februari 1938	Leersum	https://www.dbnl.org/auteurs/auteur.php?id=leer007	leer007
H. Colijn	22 juni 1869	Burgerveen	18 september 1944	Ilmenau	https://www.dbnl.org/auteurs/auteur.php?id=coli002	coli002
A.J. Servaas van Rooijen	30 mei 1839	Utrecht	1925		https://www.dbnl.org/auteurs/auteur.php?id=rooi006	rooi006
Maarten van Rhijn	29 april 1888	Groningen	3 oktober 1966	Bilthoven	https://www.dbnl.org/auteurs/auteur.php?id=rhij004	rhij004
Valentijn Hepp	1879		1950		https://www.dbnl.org/auteurs/auteur.php?id=hepp001	hepp001
J.J. van Hille	1835		na 1924		https://www.dbnl.org/auteurs/auteur.php?id=hill012	hill012
A.A. Kok	23 mei 1881	Dordrecht	15 april 1951	Amstelhoek	https://www.dbnl.org/auteurs/auteur.php?id=kok_015	kok_015
H.D.H. Bosboom	1849		22 oktober 1929		https://www.dbnl.org/auteurs/auteur.php?id=bosb003	bosb003
W.J.M. Mulder	12 mei 1875	Amsterdam	17 oktober 1936	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=muld028	muld028
C.J.K. van Aalst	1866		1939		https://www.dbnl.org/auteurs/auteur.php?id=aals003	aals003
Johannes Henricus Scholten	17 augustus 1811	Vleuten	10 april 1885	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=scho020	scho020
W.J.J.C. Bijleveld	1878		1952		https://www.dbnl.org/auteurs/auteur.php?id=bijl009	bijl009
M.A. Evelein	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=evel001	evel001
J.C. van der Loos	1881		1947		https://www.dbnl.org/auteurs/auteur.php?id=loos013	loos013
J.W. Bierma	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=bier006	bier006
J.R. Callenbach	1862		1945		https://www.dbnl.org/auteurs/auteur.php?id=call015	call015
F. van Hoeck	1873		1956		https://www.dbnl.org/auteurs/auteur.php?id=hoec005	hoec005
J.C. Breen	10 november 1865	Amsterdam	7 maart 1927	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=bree008	bree008
W. van Schothorst	18 augustus 1877	Lunteren	17 augustus 1935	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=scho114	scho114
Albert Eekhof	26 juli 1884	Steenwijk	23 maart 1933	Oegstgeest	https://www.dbnl.org/auteurs/auteur.php?id=eekh005	eekh005
Willem Gerard van der Tak	3 februari 1885	Den Haag	19 maart 1958	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=tak_003	tak_003
J.H. Garms jr.	1867		1933		https://www.dbnl.org/auteurs/auteur.php?id=garm002	garm002
H.E. Knappert	1872		1943		https://www.dbnl.org/auteurs/auteur.php?id=knap008	knap008
Frans Drion	2 september 1874	Den Haag	13 december 1948	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=drio002	drio002
Jacobus Heinsius	23 juni 1872	Amsterdam	18 mei 1947	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=hein007	hein007
R.W. Zandvoort	2 juli 1894	Avenhorn	7 augustus 1990	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=zand006	zand006
Hendrik Bolkestein	1877		1942		https://www.dbnl.org/auteurs/auteur.php?id=bolk003	bolk003
G. van Hoorn	1891		1969		https://www.dbnl.org/auteurs/auteur.php?id=hoor020	hoor020
J.P. van Lonkhuijzen	1873		1942		https://www.dbnl.org/auteurs/auteur.php?id=lonk001	lonk001
M.H.A. van der Valk	1866		1954		https://www.dbnl.org/auteurs/auteur.php?id=valk024	valk024
Jo van Ham	11 maart 1895	Middelburg	30 december 1985	Middelburg	https://www.dbnl.org/auteurs/auteur.php?id=ham_002	ham_002
Dirk Drijver	1879		1946		https://www.dbnl.org/auteurs/auteur.php?id=drij005	drij005
Pieter Rink	1851		1941		https://www.dbnl.org/auteurs/auteur.php?id=rink003	rink003
J.H. Kern	24 januari 1867	Leiden	19 december 1933	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=kern005	kern005
H.T. Damsté	28 januari 1874	Huisduinen	6 januari 1955	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=dams007	dams007
Edward John Voûte	1887		1950		https://www.dbnl.org/auteurs/auteur.php?id=vout004	vout004
S. Sybenga	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=sybe004	sybe004
D. Plooij	1877		1935		https://www.dbnl.org/auteurs/auteur.php?id=ploo006	ploo006
J.E. Kroon	3 december 1880	Leiden	8 december 1956	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=kroo013	kroo013
S.W.F. Margadant	22 november 1887	Den Haag	15 maart 1946	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=marg006	marg006
Gillis André de la Porte	25 februari 1866	Boxtel	12 maart 1950	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=andr029	andr029
A. Goslinga	26 september 1884	Bolsward	2 februari 1961	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=gosl001	gosl001
Johan Christoffel Ramaer	9 mei 1852	Zutphen	17 juni 1932	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=rama011	rama011
J.C. van Oven	17 november 1881	Dordrecht	15 maart 1963	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=oven002	oven002
Dirk Herderschêe	1877		1969		https://www.dbnl.org/auteurs/auteur.php?id=herd005	herd005
L.H.J. Lamberts Hurrelbrinck	1 juni 1856	Pasoeroean (Java)	31 oktober 1941	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=lamb004	lamb004
J.P. van der Stok	1851		1934		https://www.dbnl.org/auteurs/auteur.php?id=stok008	stok008
G.A. Wumkes	4 september 1869	Joure	7 mei 1954	Leeuwarden	https://www.dbnl.org/auteurs/auteur.php?id=wumk001	wumk001
H.P. Berdenis van Berlekom	19 maart 1862	Heerlen	15 januari 1947	De Bilt	https://www.dbnl.org/auteurs/auteur.php?id=berd002	berd002
P.L. Tack	1870		1943		https://www.dbnl.org/auteurs/auteur.php?id=tack001	tack001
A.S. de Blécourt	4 oktober 1873	Appingedam	8 november 1940	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=blec001	blec001
F.W. Stapel	3 april 1879	Den Haag	4 februari 1957	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=stap009	stap009
J.E. Stokvis	23 februari 1875	Den Haag	30 december 1951	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=stok009	stok009
M.A. van Andel	16 januari 1878	Gorinchem	5 juni 1941	Gorinchem	https://www.dbnl.org/auteurs/auteur.php?id=ande002	ande002
Pieter Fijn van Draat	23 september 1860	Deventer	1945		https://www.dbnl.org/auteurs/auteur.php?id=fijn002	fijn002
Joh. F. Snelleman	1852		1932		https://www.dbnl.org/auteurs/auteur.php?id=snel012	snel012
P.J. de Kanter	17 maart 1868	Gouda	16 mei 1953	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=kant005	kant005
V.H. Rutgers	16 december 1877	Hertogenbosch	5 februari 1945	Bochum	https://www.dbnl.org/auteurs/auteur.php?id=rutg018	rutg018
Jacobus Henneman	11 november 1897	Alkmaar	11 februari 1954	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=henn009	henn009
G. Karsten	19 maart 1893	Zwaag	24 februari 1962		https://www.dbnl.org/auteurs/auteur.php?id=kars003	kars003
F.C. Wieder	23 november 1874	Mijnsheerenland	7 januari 1943	Noordwijk	https://www.dbnl.org/auteurs/auteur.php?id=wied001	wied001
M.E. Houck	8 oktober 1858	Deventer	7 juni 1939	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=houc003	houc003
P.J.M. van Gils	10 januari 1869	Waalwijk	11 april 1956	Roermond	https://www.dbnl.org/auteurs/auteur.php?id=gils007	gils007
Caspert van Son	27 januari 1867	Dordrecht	9 april 1943		https://www.dbnl.org/auteurs/auteur.php?id=son_001	son_001
Augusta Peaux	1859	Simonshaven	1944		https://www.dbnl.org/auteurs/auteur.php?id=peau001	peau001
J.H. Kuyper	1875		1948		https://www.dbnl.org/auteurs/auteur.php?id=kuyp017	kuyp017
Jacobus Funke	25 mei 1868	Amsterdam	26 januari 1939	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=funk005	funk005
Marie C. van Zeggelen	8 juli 1870	Den Haag	15 juli 1957	Huizen	https://www.dbnl.org/auteurs/auteur.php?id=zegg001	zegg001
Adolph Staring	2 oktober 1890	Dordrecht	6 januari 1980	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=star004	star004
Th. van Rheineck Leyssius	31 augustus 1881	Medan	1 februari 1968	Voorburg	https://www.dbnl.org/auteurs/auteur.php?id=rhei001	rhei001
J.P. Kleiweg de Zwaan	1875		1971		https://www.dbnl.org/auteurs/auteur.php?id=klei024	klei024
Edgard Blancquaert	20 juni 1894	Opdorp	29 september 1964	Mariakerke	https://www.dbnl.org/auteurs/auteur.php?id=blan006	blan006
J.E. van der Laan	1903				https://www.dbnl.org/auteurs/auteur.php?id=laan004	laan004
Etsko Kruisinga	8 december 1875	Leens	15 februari 1944	Schiedam	https://www.dbnl.org/auteurs/auteur.php?id=krui005	krui005
Johannes Berg	1887	Sappemeer	1962		https://www.dbnl.org/auteurs/auteur.php?id=berg090	berg090
J.J. de Gelder	1878		1971		https://www.dbnl.org/auteurs/auteur.php?id=geld025	geld025
Bastiaan Adriaan Pieter van Dam	1856		1940		https://www.dbnl.org/auteurs/auteur.php?id=dam_018	dam_018
J.H. van Lessen	28 oktober 1897	Groningen	19 december 1951	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=less002	less002
A.L. van Beeck	28 maart 1865	Baarle-Nassau	27 februari 1942	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=beec004	beec004
Johanna Dorina Hintzen	21 mei 1889	Vlissingen	7 december 1969	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=hint001	hint001
Christine Mohrmann	1 augustus 1903	Groningen	13 juli 1988	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=mohr003	mohr003
H.F. Wijnman	1894		1979		https://www.dbnl.org/auteurs/auteur.php?id=wijn021	wijn021
Helbertine Anna Cornelia Beets-Damsté	11 mei 1871	Wilsum	25 juli 1954	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=beet011	beet011
Henri C.J.A. Mosmans C.ss.R	1866		1945		https://www.dbnl.org/auteurs/auteur.php?id=mosm001	mosm001
Bruno B. Becker	15 maart 1885	Sint Petersburg	20 maart 1968	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=beck005	beck005
J.H. Broekman	1907		1983		https://www.dbnl.org/auteurs/auteur.php?id=broe062	broe062
A. Brom	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=brom006	brom006
H.A. van Bakel	1874		1948		https://www.dbnl.org/auteurs/auteur.php?id=bake010	bake010
Jo M. Sterck-Proot	1868		1945		https://www.dbnl.org/auteurs/auteur.php?id=ster020	ster020
F.W. Grosheide	25 november 1881	Amsterdam	5 maart 1972	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=gros005	gros005
G. Knop	1873	Terschelling	1949		https://www.dbnl.org/auteurs/auteur.php?id=knop001	knop001
David Kouwenaar	10 september 1876	Amsterdam	26 juni 1957	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=kouw005	kouw005
D.E. Bosselaar	9 januari 1889	Utrecht	26 september 1943	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=boss029	boss029
A.T. Vos	21 juni 1875	Appingedam	22 november 1955	Appingedam	https://www.dbnl.org/auteurs/auteur.php?id=vos_056	vos_056
Louise Kaiser	15 oktober 1891	Medemblik	2 april 1973	Bussum	https://www.dbnl.org/auteurs/auteur.php?id=kais002	kais002
Adriaan E.H. Swaen	9 februari 1863	Haarlem	28 oktober 1947	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=swae005	swae005
W.J. Kooiman	1903		1968		https://www.dbnl.org/auteurs/auteur.php?id=kooi017	kooi017
W.E. Boerman	27 mei 1888	Arnhem	18 februari 1965	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=boer051	boer051
Cor van der Lugt Melsert	1882		1969		https://www.dbnl.org/auteurs/auteur.php?id=lugt005	lugt005
M. Schönfeld	9 februari 1880	Groningen	4 oktober 1958	Graveland	https://www.dbnl.org/auteurs/auteur.php?id=scho074	scho074
F.A. Le Poole	23 juli 1882	Leiden	5 januari 1961	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=pool005	pool005
Jacob Clay	18 januari 1882	Berkhout	31 mei 1955	Bilthoven	https://www.dbnl.org/auteurs/auteur.php?id=clay002	clay002
Henri Mayer	11 juni 1880	Den Haag	8 juli 1958	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=maye003	maye003
F.J. du Toit Spies	13 februari 1912	Oranje Vrijstaat	1998		https://www.dbnl.org/auteurs/auteur.php?id=toit005	toit005
F.B.J. Kuiper	7 juli 1907	Den Haag	14 november 2003	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=kuip028	kuip028
Hendrik Wagenvoort	23 augustus 1886	Barradeel (Friesland)	1976		https://www.dbnl.org/auteurs/auteur.php?id=wage016	wage016
Abraham Rutgers van der Loeff	1876		1962		https://www.dbnl.org/auteurs/auteur.php?id=rutg004	rutg004
Gerhard Sevenster	13 november 1895	Beets	10 augustus 1985	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=seve017	seve017
M.P. Vrij	10 juli 1895	Amsterdam	21 januari 1955	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=vrij007	vrij007
Johannes de Zwaan	1883		1957		https://www.dbnl.org/auteurs/auteur.php?id=zwaa011	zwaa011
F.P. Huygens	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=huyg005	huyg005
J.L. Tadema	1874		1949		https://www.dbnl.org/auteurs/auteur.php?id=tade001	tade001
Brocardus Meyer	1906				https://www.dbnl.org/auteurs/auteur.php?id=meye020	meye020
D.C. Tinbergen	8 mei 1874	Den Haag	12 februari 1951	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=tinb001	tinb001
A.C. van Waveren	19de eeuw	Wijk bij Duurstede			https://www.dbnl.org/auteurs/auteur.php?id=wave001	wave001
S.J. van der Molen	1912	Leeuwarden	1995		https://www.dbnl.org/auteurs/auteur.php?id=mole004	mole004
W.F.J.M. Krul	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=krul006	krul006
Gerard Ras	18 februari 1880	Utrecht	5 januari 1966	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=ras_002	ras_002
J.J. Kalma	17 mei 1907	Hantumhuizen	23 mei 1991	Leeuwarden	https://www.dbnl.org/auteurs/auteur.php?id=kalm003	kalm003
Chr.P. van Eeghen	19 juni 1853	Amsterdam	1917		https://www.dbnl.org/auteurs/auteur.php?id=eegh003	eegh003
J.J. van Bolhuis	1912		1963		https://www.dbnl.org/auteurs/auteur.php?id=bolh005	bolh005
P.J. Nienaber	1 oktober 1910	Fauresmith (Prieska)	24 mei 1995	Bloemfontein	https://www.dbnl.org/auteurs/auteur.php?id=nien005	nien005
Arie Mout	17 september 1900	Den Haag	14 september 1978	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=mout001	mout001
H. de Buck	25 november 1893	Oostkapelle	20 maart 1986	Haren	https://www.dbnl.org/auteurs/auteur.php?id=buck003	buck003
G.M. de Gelder	1900		1969		https://www.dbnl.org/auteurs/auteur.php?id=geld026	geld026
P.H.G. van Gilse	31 mei 1881	Leer	9 april 1959	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=gils004	gils004
