Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
Agnes François	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=fran225	fran225	Agnes	François	Agnes François			18xx			female
Maxim Gorki	1868		18 juni 1936	Moskou	https://www.dbnl.org/auteurs/auteur.php?id=gork009	gork009	Maxim	Gorki	Aleksej Maksimovic Peškov/Aleksej Maksimovitsj Pesjkov/Maksim Gor'kij/Maxim Gorki			1868		6/18/1936	male
E. de Haas	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=haas054	haas054	E.	de Haas	E. de Haas	vertaler		18xx			male
L. de Haas	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=haas055	haas055	L.	de Haas	L. de Haas	vertaler		18xx			male
J.N. Jacobsen Jensen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=jaco091	jaco091	J.N.	Jacobsen Jensen	J.N. Jacobsen Jensen			18xx			male
Herman Menagé Challa	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mena012	mena012	Herman	Menagé Challa	Herman Menagé Challa	vertaler		18xx			male
Ludvig Holberg	3 december 1684		28 januari 1754	Kopenhagen	https://www.dbnl.org/auteurs/auteur.php?id=holb004	holb004	Ludvig	Holberg	Ludvig Holberg			1684-12-03		1754-01-28	male
B.A. Meuleman	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=meul048	meul048	Bernardus Anthony	Meuleman	B.A. Meuleman	vertaler		18xx			male
H. Lievegoed	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=liev031	liev031	H.	Lievegoed	H. Lievegoed			18xx			male
Juul Roggeveen	1905		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=rogg008	rogg008	Juul	Roggeveen	Juul Roggeveen			1905		19xx	female
Henriette Geerling	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=geer118	geer118	Henriette	Geerling	Henriette Geerling			18xx			female
Jan Grégoire	11 september 1887	Maastricht	11 februari 1960	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=greg001	greg001	Jan	Grégoire	Jan Grégoire	schilder	Maastricht	1887-09-11	Amsterdam	2/11/1960	male
D.H. Lawrence	11 september 1885	Eastwood (Nottinghamshire)	2 maart 1930	Vence	https://www.dbnl.org/auteurs/auteur.php?id=lawr001	lawr001	David Herbert Richards	Lawrence	D.H. Lawrence/Lawrence H. Davidson			1885-09-11		3/2/1930	male
H. Korteling	13 september 1898	Deventer	30 september 1994	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=kort003	kort003	Herman Daniël	Korteling	H. Korteling		Deventer	1898-09-13	Deventer	9/30/1994	male
Thomas Raucat	8 april 1894	Parijs	14 augustus 1976	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=rauc001	rauc001	Roger Emmanuel Alfred	Raucat	Roger Poidatz/Thomas Raucat	officier/militair		1894-04-08		8/14/1976	male
Johan Schmidt	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=schm113	schm113	Johan	Schmidt	Johan Schmidt			19xx			male
G. de Bruijn	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=brui157	brui157	G.	de Bruijn	G. de Bruijn			19xx			male
H.W. van Loon	14 januari 1882	Rotterdam	11 maart 1944		https://www.dbnl.org/auteurs/auteur.php?id=loon017	loon017	Hendrik Willem	van Loon	H.W. van Loon	tekenaar/journalist/redacteur/illustrator/beeldend kunstenaar	Rotterdam	1882-01-14		3/11/1944	male
J. Nienhuis	31 maart 1905	Delft	7 augustus 1985	De Bilt	https://www.dbnl.org/auteurs/auteur.php?id=nien002	nien002	Jacob	Nienhuis	J. Nienhuis	herv./leraar/geref. predikant	Delft	3/31/1905	De Bilt	8/7/1985	male
J.P. Zoomers-Vermeer	3 juni 1880	Rheden	26 april 1968	Apeldoorn	https://www.dbnl.org/auteurs/auteur.php?id=zoom001	zoom001	Johanna Paulina	Zoomers-Vermeer	J.P. Zoomers-Vermeer		Rheden	1880-06-03	Apeldoorn	4/26/1968	female
Sidonie Gabrielle Colette	28 januari 1873	Saint-Saveur	1954		https://www.dbnl.org/auteurs/auteur.php?id=coll039	coll039	Sidonie Gabrielle	Colette	Colette/Sidonie Gabrielle Colette			1873-01-28		1954	female
Eva Raedt-de Canter	11 januari 1900	Breda	27 februari 1975	Edam	https://www.dbnl.org/auteurs/auteur.php?id=raed001	raed001	Eva	Raedt-de Canter	Eva Raedt-de Canter		Breda	1/11/1900	Edam	2/27/1975	female
Taï Aagen-Moro	8 oktober 1890	Amsterdam	31 oktober 1979		https://www.dbnl.org/auteurs/auteur.php?id=aage001	aage001	Wilhemlmina Juliana Theresia (Willy)	Aagen-Moro	Gilles de Vos/Taï Aagen-Moro/Wilhelmina Juliana Theresia van Aggelen/Willy Snellenberg-van Aggelen	schilder	Amsterdam	1890-10-08		10/31/1979	female
Hermance Farensbach	1906		1994		https://www.dbnl.org/auteurs/auteur.php?id=fare002	fare002	Hermance	Farensbach	Hermance Farensbach			1906		1994	female
Annelies van Cauwelaert	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=cauw022	cauw022	Annelies	van Cauwelaert	Annelies van Cauwelaert			19xx			female
Juul Horn	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=horn032	horn032	Juul	Horn	Juul Horn			18xx			male
Ernst S. Willartz	1910				https://www.dbnl.org/auteurs/auteur.php?id=will004	will004	Ernst S.	Willartz	E.S. Willards/Ernst S. Willartz/Jan H. de Koning			1910			male
Marja Stevens	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=stev055	stev055	Marja	Stevens	Marja Stevens			19xx			female
Albert van Waasdijk	1879		1943		https://www.dbnl.org/auteurs/auteur.php?id=waas003	waas003	Albert	van Waasdijk	Albert van Waasdijk			1879		1943	male
Con Schröders	28 juli 1921	Amsterdam	6 juli 2010	Hilversum	https://www.dbnl.org/auteurs/auteur.php?id=schr035	schr035	Constant Anton Jacobus	Schröders	Con Schröders		Amsterdam	7/28/1921	Hilversum	7/6/2010	male
N. de Praetere	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=prae020	prae020	N.	de Praetere	N. de Praetere			19xx			male
Willem Enzinck	31 oktober 1920	Apeldoorn	12 augustus 2001	Oostburg	https://www.dbnl.org/auteurs/auteur.php?id=enzi001	enzi001	Willem	Enzinck	Aleid Johan Herman August Wensink/Georges de Sévooy/Johan Ponteyne/Willem Enzinck	vertaler/redacteur/journalist	Apeldoorn	10/31/1920	Oostburg	8/12/2001	male
Frans Harmen Kiveron	1894	Soerakarta	1927	Borneo	https://www.dbnl.org/auteurs/auteur.php?id=kive002	kive002	Frans Harmen	Kiveron	Frans Harmen Kiveron			1894		1927	male
A.H. Unger	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=unge008	unge008	A.H.	Unger	A.H. Unger			19xx			male
Friedrich Hölderlin	1770		1843		https://www.dbnl.org/auteurs/auteur.php?id=hold010	hold010	Johann Christian Friedrich	Hölderlin	Friedrich Hölderlin			1770		1843	male
J.A. van der Made	1909		1982		https://www.dbnl.org/auteurs/auteur.php?id=made001	made001	Johannes Albertus	van der Made	J. den Ouden/J.A. van der Made/R.A. Maashoen van Dieden			1909		1982	male
Nico de Haas	23 juni 1907	Amsterdam	1995		https://www.dbnl.org/auteurs/auteur.php?id=haas009	haas009	Nico	de Haas	Nico de Haas	tekenaar/journalist/redacteur/illustrator/beeldend kunstenaar	Amsterdam	6/23/1907		1995	male
Frans Hannema	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hann025	hann025	Frans	Hannema	Frans Hannema			19xx			male
Ferdinand Vercnocke	14 december 1906	Oostende	12 mei 1989	Duffel	https://www.dbnl.org/auteurs/auteur.php?id=verc004	verc004	Ferdinand	Vercnocke	Ferdinand Vercnocke	advocaat/schilder/jurist	Oostende	12/14/1906	Duffel	5/12/1989	male
Sjoerd de Vries	1917				https://www.dbnl.org/auteurs/auteur.php?id=vrie048	vrie048	Sjoerd	de Vries	Sjoerd de Vries	redacteur/journalist		1917			male
Jan Redam	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=reda004	reda004	Jan	Redam	Jan Redam			19xx			male
Steven Barends	1915?		1993?		https://www.dbnl.org/auteurs/auteur.php?id=bare002	bare002	Steven	Barends	Samuel Barends/Steven Barends			1915-?-5?		1993-?-3?	male
Hendrik Lindt	1905		1985		https://www.dbnl.org/auteurs/auteur.php?id=lind034	lind034	Hendrik	Lindt	Hendrik Lindt			1905		1985	male
George Kettmann jr.	12 december 1898	Amsterdam	10 februari 1970	Roosendaal	https://www.dbnl.org/auteurs/auteur.php?id=kett004	kett004	George Wilhelm	Kettmann jr.	Co van Sweden/George Kettmann jr./Jan Warnsinck/Jan van de Wolk/Lange Pier/M.G. Wake		Amsterdam	1898-12-12	Roosendaal	2/10/1970	male
Ben Moritz	1906		2000		https://www.dbnl.org/auteurs/auteur.php?id=mori023	mori023	Bernardus Johannes	Moritz	Ben Moritz			1906		2000	male
Henri Bruning	10 juli 1900	Amsterdam	17 januari 1983	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=brun009	brun009	Henricus Josephus	Bruning	Henri Bruning		Amsterdam	7/10/1900	Nijmegen	1/17/1983	male
Sybren Modderman	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=modd013	modd013	Sybren Berend	Modderman	Sybren Modderman			19xx			male
Karin Moen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=moen033	moen033	Karin	Moen	Karin Moen			19xx			female
Rudolf Steinmetz	1900		1979		https://www.dbnl.org/auteurs/auteur.php?id=stei011	stei011	Rudolf	Steinmetz	Rudolf Steinmetz			1900		1979	male
S.G. de Vries	16 juni 1861	Leiden	8 februari 1937	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=vrie092	vrie092	Scato Gocko	de Vries	S.G. de Vries		Leiden	1861-06-16	Leiden	2/8/1937	male
Louis D. Petit	21 maart 1847	Amsterdam	16 juli 1918		https://www.dbnl.org/auteurs/auteur.php?id=peti002	peti002	Louis David	Petit	Louis D. Petit	boekhandelaar	Amsterdam	1847-03-21		7/16/1918	male
G.J.W. Koolemans Beijnen	22 mei 1848	Den Haag	6 november 1928		https://www.dbnl.org/auteurs/auteur.php?id=kool010	kool010	Gijsbertus Johannes Willem	Koolemans Beijnen	G.J.W. Koolemans Beijnen	officier/militair	Den Haag	1848-05-22		11/6/1928	male
J. Verdam	22 januari 1845	Amsterdam	19 juli 1919		https://www.dbnl.org/auteurs/auteur.php?id=verd003	verd003	Jacob	Verdam	J. Verdam		Amsterdam	1845-01-22		7/19/1919	male
Gerardus Johannes van der Hoeve	26 augustus 1831	Gendringen	1916		https://www.dbnl.org/auteurs/auteur.php?id=hoev007	hoev007	Gerardus Johannes	van der Hoeve	Gerardus Johannes van der Hoeve	herv./leraar/geref. predikant	Gendringen	1831-08-26		1916	male
T. Zaaijer	15 november 1837	Dirksland	23 december 1902	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=zaai001	zaai001	Teunis	Zaaijer	T. Zaaijer	leraar/natuurwetenschapper/docent/hoogleraar	Dirksland	1837-11-15	Leiden	12/23/1902	male
J.M. Nuyts	1846		1928		https://www.dbnl.org/auteurs/auteur.php?id=nuyt035	nuyt035	J.M.	Nuyts	J.M. Nuyts			1846		1928	male
J.E. Banck	3 november 1833	Soerabaya	16 april 1902	Wiesbaden	https://www.dbnl.org/auteurs/auteur.php?id=banc001	banc001	John Eric	Banck	J.E. Banck			1833-11-03		4/16/1902	male
Jan Frederik Willem Conrad	28 mei 1825	Maastricht	12 augustus 1902	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=conr006	conr006	Jan Frederik Willem	Conrad	Jan Frederik Willem Conrad	architect/bouwkundig ingenieur/bouwmeester	Maastricht	1825-05-28	Den Haag	8/12/1902	male
T.C. van der Kulk	26 december 1835	Ridderkerk	september 1911		https://www.dbnl.org/auteurs/auteur.php?id=kulk001	kulk001	Tonius Cornelius	van der Kulk	Noorman/T.C. van der Kulk	journalist/leraar/redacteur/herv./geref. predikant	Ridderkerk	1835-12-26		1911-09-xx	male
W.R. Veder	1854		1929		https://www.dbnl.org/auteurs/auteur.php?id=vede004	vede004	William Robert	Veder	W.R. Veder			1854		1929	male
J. Herderscheê	18 maart 1850	Kamperveen	9 november 1929	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=herd004	herd004	Jacobus	Herderscheê	J. Herderscheê		Kamperveen	1850-03-18	Amsterdam	11/9/1929	male
W.H. Stenfert Kroese	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=sten003	sten003	W.H.	Stenfert Kroese	W.H. Stenfert Kroese			18xx			male
H.J. de Dompierre de Chaufepié	20 september 1861	Amsterdam	1910		https://www.dbnl.org/auteurs/auteur.php?id=domp001	domp001	Henri Jean	de Dompierre de Chaufepié	H.J. de Dompierre de Chaufepié		Amsterdam	1861-09-20		1910	male
François van Veerdeghem	1849		1932		https://www.dbnl.org/auteurs/auteur.php?id=veer009	veer009	François Joseph	van Veerdeghem	François van Veerdeghem			1849		1932	male
B. van Meer	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=meer060	meer060	B.	van Meer	B. van Meer	herv./leraar/geref. predikant		18xx		000?	male
Johan Adriaan Feith	25 september 1858	Groningen	28 januari 1913	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=feit013	feit013	Johan Adriaan	Feith	Johan Adriaan Feith		Groningen	1858-09-25	Groningen	1/28/1913	male
J.W.M. Schorer	8 maart 1834	Middelburg	1 oktober 1903		https://www.dbnl.org/auteurs/auteur.php?id=scho112	scho112	Johan Willem Meinard	Schorer	J.W.M. Schorer	advocaat/magistraat/jurist	Middelburg	1834-03-08		10/1/1903	male
Corneille L. Landré	31 augustus 1838	Utrecht	10 februari 1895	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=land021	land021	Corneille L.	Landré	Corneille L. Landré	wiskundige	Utrecht	1838-08-31	Amsterdam	1895-02-10	male
Carel Eduard Daniëls	4 juni 1839	Hillegom			https://www.dbnl.org/auteurs/auteur.php?id=dani003	dani003	Carel Eduard	Daniëls	Carel Eduard Daniëls	apotheker/medicus	Hillegom	1839-06-04		000?	male
J. Jelgerhuis Swildens	23 mei 1829	Leeuwarden	18 september 1906	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=jelg004	jelg004	Jouke	Jelgerhuis Swildens	J. Jelgerhuis Swildens	onderwijzer (basisschool)	Leeuwarden	1829-05-23	Amsterdam	9/18/1906	male
J.G. Nijk	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=nijk004	nijk004	J.G.	Nijk	J.G. Nijk			18xx			male
Thomas Nolen	6 september 1850	Rotterdam	25 september 1912	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=nole007	nole007	Thomas	Nolen	Thomas Nolen	onderwijzer (basisschool)	Rotterdam	1850-09-06	Rotterdam	9/25/1912	male
P.J. Muller	1854		1922		https://www.dbnl.org/auteurs/auteur.php?id=mull032	mull032	Pieter Johannes	Muller	P.J. Muller			1854		1922	male
E.N. Rahusen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=rahu001	rahu001	E.N.	Rahusen	E.N. Rahusen			18xx		000?	male
Godschalk Horatius van Borssum Waalkes	8 april 1829	Ysbrechtum	1 februari 1907	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=waal012	waal012	Godschalk Horatius van Borssum	Waalkes	Godschalk Horatius van Borssum Waalkes	herv./leraar/geref. predikant	Ysbrechtum	1829-04-08	Utrecht	2/1/1907	male
Wilco Julius van Welderen Baron Rengers	14 november 1835	Leeuwarden	21 februari 1916		https://www.dbnl.org/auteurs/auteur.php?id=weld001	weld001	Wilco Julius	van Welderen Baron Rengers	Wilco Julius van Welderen Baron Rengers	staatsman/bestuurder/politicus	Leeuwarden	1835-11-14		2/21/1916	male
O.J.H. van Limburg Stirum	6 november 1855	Utrecht	15 juli 1909	Godesberg	https://www.dbnl.org/auteurs/auteur.php?id=limb012	limb012	Otto Jan Herbert	van Limburg Stirum	O.J.H. van Limburg Stirum	advocaat/jurist	Utrecht	1855-11-06		7/15/1909	male
Jacob Cornelis van Slee	23 september 1841	Hillegom	21 november 1929	Diepenveen	https://www.dbnl.org/auteurs/auteur.php?id=slee005	slee005	Jacob Cornelis	van Slee	Jacob Cornelis van Slee	herv./leraar/geref. predikant	Hillegom	1841-09-23	Diepenveen	11/21/1929	male
M.A. Gooszen	30 april 1837	Eibergen	28 januari 1916	Lochem	https://www.dbnl.org/auteurs/auteur.php?id=goos010	goos010	Maurits Albrecht	Gooszen	M.A. Gooszen	leraar/hoogleraar/docent/herv./geref. predikant	Eibergen	1837-04-30	Lochem	1/28/1916	male
P. Feenstra jr.	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=feen005	feen005	P.	Feenstra jr.	P. Feenstra jr.	leraar/doopsgezind predikant		18xx		000?	male
J.G.C. Joosting	17 april 1866	Purmerend	18 april 1944	Velp	https://www.dbnl.org/auteurs/auteur.php?id=joos011	joos011	Jan Gualtherus Christiaan	Joosting	J.G.C. Joosting	herv./leraar/geref. predikant	Purmerend	1866-04-17	Velp	4/18/1944	male
J.T. Cremer	30 juni 1847		14 augustus 1923	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=crem004	crem004	Jacob Theodoor	Cremer	J.T. Cremer			1847-06-30	Amsterdam	8/14/1923	male
J.J. Tavenraat	10 december 1843	Kleef	11 augustus 1913	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=tave005	tave005	Jan Jacob	Tavenraat	J.J. Tavenraat	staatsman/bestuurder/politicus		1843-12-10	Den Haag	8/11/1913	male
Willem Polman Kruseman	14 december 1849	Middelburg	9 december 1918		https://www.dbnl.org/auteurs/auteur.php?id=polm003	polm003	Willem	Polman Kruseman	Willem Polman Kruseman		Middelburg	1849-12-14		12/9/1918	male
Jan te Winkel	16 november 1847	Winkel	31 mei 1927	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wink002	wink002	Jan	te Winkel	Jan te Winkel		Winkel	1847-11-16	Amsterdam	5/31/1927	male
G.H. Leignes Bakhoven	1845	Utrecht	1906	Goes	https://www.dbnl.org/auteurs/auteur.php?id=leig002	leig002	Guillaume Henri	Leignes Bakhoven	G.H. Leignes Bakhoven		Utrecht	1845	Goes	1906	male
J.M.L. Keuller	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=keul007	keul007	J.M.L.	Keuller	J.M.L. Keuller			18xx			male
Rijke de Wolf	1954				https://www.dbnl.org/auteurs/auteur.php?id=wolf012	wolf012	Rijke	de Wolf	Rijke de Wolf			1954			male
J.S. van Veen	1858		1934		https://www.dbnl.org/auteurs/auteur.php?id=veen040	veen040	Jacobus Simon	van Veen	J.S. van Veen			1858		1934	male
L.H. Slotemaker	13 februari 1830	Maassluis	7 augustus 1911		https://www.dbnl.org/auteurs/auteur.php?id=slot009	slot009	Lambertus Hendrik	Slotemaker	L.H. Slotemaker	herv./leraar/geref. predikant	Maassluis	1830-02-13		8/7/1911	male
R.A. van Sandick	1855		1933		https://www.dbnl.org/auteurs/auteur.php?id=sand019	sand019	R.A.	van Sandick	R.A. van Sandick			1855		1933	male
Thérèse Hoven	1860	Den Haag	11 december 1941		https://www.dbnl.org/auteurs/auteur.php?id=hove006	hove006	Thérèse Elisabeth	Hoven	Adinda/Thérèse Hoven		Den Haag	1860		12/11/1941	female
J.E. Heeres	30 mei 1858	Zuidhorn	16 februari 1932		https://www.dbnl.org/auteurs/auteur.php?id=heer031	heer031	Jan Ernst	Heeres	J.E. Heeres		Zuidhorn	1858-05-30		2/16/1932	male
Johannes de Hullu	12 december 1864	Cadzand	20 november 1940		https://www.dbnl.org/auteurs/auteur.php?id=hull006	hull006	Johannes	de Hullu	Johannes de Hullu	archivaris/bibliothecaris	Cadzand	1864-12-12		11/20/1940	male
Tj. Kielstra	27 april 1852	Bolsward	1936		https://www.dbnl.org/auteurs/auteur.php?id=kiel002	kiel002	Tjepke	Kielstra	Tj. Kielstra	herv./leraar/geref. predikant	Bolsward	1852-04-27		1936	male
Ludolf Willem Bakhuizen van den Brink	1862		1936		https://www.dbnl.org/auteurs/auteur.php?id=bakh005	bakh005	Ludolf Willem	Bakhuizen van den Brink	Ludolf Willem Bakhuizen van den Brink			1862		1936	male
Ernst Wilhelm Moes	5 september 1864	Amsterdam	30 oktober 1912	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=moes003	moes003	Ernst Wilhelm	Moes	Ernst Wilhelm Moes		Amsterdam	1864-09-05	Amsterdam	10/30/1912	male
Frederik Pijper	9 januari 1859	Hoogwoud	26 februari 1926	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=pijp003	pijp003	Frederik	Pijper	Frederik Pijper	herv./leraar/geref. predikant	Hoogwoud	1859-01-09	Rotterdam	2/26/1926	male
W.A. Arriëns	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=arri002	arri002	W.A.	Arriëns	W.A. Arriëns			18xx		000?	male
F.A. van den Heuvel	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=heuv019	heuv019	F.A.	van den Heuvel	F.A. van den Heuvel			18xx		000?	male
J. Baart de la Faille	1886		1959		https://www.dbnl.org/auteurs/auteur.php?id=baar009	baar009	Jacob	Baart de la Faille	J. Baart de la Faille	kunsthistoricus/kunsthandelaar	Leeuwarden	1886-06-01	Heemstede	8/7/1959	male
J.H.W. Leliman	1878		1912		https://www.dbnl.org/auteurs/auteur.php?id=leli001	leli001	Johannes Hendrik Willem	Leliman	J.H.W. Leliman			1878		1912	male
W.W. van der Meulen	10 juni 1868	Leeuwarden	27 maart 1944	Lochem	https://www.dbnl.org/auteurs/auteur.php?id=meul031	meul031	Wouter Wisso	van der Meulen	W.W. van der Meulen	magistraat/archeoloog/historicus	Leeuwarden	1868-06-10	Lochem	3/27/1944	male
Is. van Dijk	20 maart 1847	Dussen	25 december 1922	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=dijk038	dijk038	Isaac	van Dijk	Anastasio/Is. van Dijk	filosoof	Dussen	1847-03-20	Den Haag	12/25/1922	male
Hotse Brongersma	1840		1922		https://www.dbnl.org/auteurs/auteur.php?id=bron015	bron015	Hotse Sjuks	Brongersma	Hotse Brongersma	wiskundige		1840		1922	male
R.W.P. de Vries	1 mei 1841		25 september 1919		https://www.dbnl.org/auteurs/auteur.php?id=vrie045	vrie045	Reinier Willem Petrus	de Vries	R.W.P. de Vries			1841-05-01		9/25/1919	male
L.J.J. Hageraats	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hage019	hage019	L.J.J.	Hageraats	L.J.J. Hageraats			18xx		000?	male
J.C. Vollgraff	3 januari 1848	Den Haag	6 februari 1920	Utrecht?	https://www.dbnl.org/auteurs/auteur.php?id=voll011	voll011	Johann Christoph	Vollgraff	J.C. Vollgraff		Den Haag	1848-01-03	Utrecht	2/6/1920	male
J.C.G. Jonker	1857		1919		https://www.dbnl.org/auteurs/auteur.php?id=jonk009	jonk009	Johann Christoph Gerhard	Jonker	J.C.G. Jonker			1857		1919	male
A.P.Th. Eyssell	19 januari 1837	Den Haag	23 maart 1921	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=eyss003	eyss003	Aernout Philip Theodoor	Eyssell	A.P.Th. Eyssell	advocaat/jurist	Den Haag	1837-01-19	Den Haag	3/23/1921	male
P.J.F. du Bois					https://www.dbnl.org/auteurs/auteur.php?id=bois004	bois004	P.J.F.	du Bois	P.J.F. du Bois						male
M.Th. Houtsma	1851		1943		https://www.dbnl.org/auteurs/auteur.php?id=hout034	hout034	Martijn Theodoor	Houtsma	M.Th. Houtsma			1851		1943	male
H.J. Calkoen	1855	Sint Maarten	1937		https://www.dbnl.org/auteurs/auteur.php?id=calk004	calk004	Hendrik Joan	Calkoen	H.J. Calkoen	architect/bouwkundig ingenieur/bouwmeester		1855		1937	male
Jacob Domela Nieuwenhuis	19 februari 1836	Monnickendam	14 augustus 1924		https://www.dbnl.org/auteurs/auteur.php?id=nieu036	nieu036	Jacob Domela	Nieuwenhuis	J. Domela Nieuwenhuis/Jacob Domela Nieuwenhuis	advocaat/jurist	Monnickendam	1836-02-19		8/14/1924	male
Y.H. Rogge	1865		1953		https://www.dbnl.org/auteurs/auteur.php?id=rogg016	rogg016	Ysbrand Hendrik	Rogge	Y.H. Rogge	classicus		1865		1953	male
Daniel de Swaef	12 september (gedoopt) 1599	Middelburg	26 januari 1654	Middelburg	https://www.dbnl.org/auteurs/auteur.php?id=swae009	swae009	Daniel	de Swaef	Daniel Suavius/Daniel de Swaef	herv./leraar/geref. predikant	Middelburg	1599-09-12	Middelburg	1654-01-26	male
L.J. Sicking	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=sick006	sick006	Lodewijk Joseph	Sicking	L.J. Sicking			18xx		000?	male
D.A. van Heyst	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=heys009	heys009	D.A.	van Heyst	D.A. van Heyst			18xx		000?	male
C.H. van Rhijn	22 juli 1849	Delft	16 februari 1913		https://www.dbnl.org/auteurs/auteur.php?id=rhij003	rhij003	Cornelis Hendrikus	van Rhijn	C.H. van Rhijn		Delft	1849-07-22		2/16/1913	male
Philip Christiaan Molhuyzen	2 november 1793	Maastricht	5 april 1865	Kampen	https://www.dbnl.org/auteurs/auteur.php?id=molh002	molh002	Philip Christiaan	Molhuyzen	Philip Christiaan Molhuyzen	journalist/leraar/redacteur/herv./geref. predikant	Maastricht	1793-11-02	Kampen	1865-04-05	male
J.C. Jansen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=jans096	jans096	J.C.	Jansen	J.C. Jansen			18xx		000?	male
Alexander Frederik de Savornin Lohman	29 mei 1837	Groningen	1924		https://www.dbnl.org/auteurs/auteur.php?id=savo002	savo002	Alexander Frederik	de Savornin Lohman	A.F. de Savornin Lohman/Alexander Frederik de Savornin Lohman		Groningen	1837-05-29		1924	male
A.O. van Kerkwijk	1873		1957		https://www.dbnl.org/auteurs/auteur.php?id=kerk011	kerk011	Arnold Octave	van Kerkwijk	A.O. van Kerkwijk			1873		1957	male
Willem Draaijer	26 december 1847	Deventer	13 juli 1933	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=draa002	draa002	Willem	Draaijer	Willem Draaijer	onderwijzer (basisschool)/archeoloog/historicus	Deventer	1847-12-26	Leiden	7/13/1933	male
Eppe Wiersum	6 december 1869	Uithuizen	25 december 1955		https://www.dbnl.org/auteurs/auteur.php?id=wier025	wier025	Eppe	Wiersum	Eppe Wiersum	archivaris/archeoloog/historicus/bibliothecaris	Uithuizen	1869-12-06	Rotterdam	12/25/1955	male
J.P. Lotsy	1867		1931		https://www.dbnl.org/auteurs/auteur.php?id=lots001	lots001	Johannes Paulus	Lotsy	J.P. Lotsy			1867		1931	male
S. Cramer	3 juli 1842	Middelburg	30 januari 1913	Amsterdam?	https://www.dbnl.org/auteurs/auteur.php?id=cram011	cram011	Samuel	Cramer	S. Cramer	leraar/doopsgezind predikant	Middelburg	1842-07-03	Amsterdam	1/30/1913	male
H. Rogaar	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=roga001	roga001	H.	Rogaar	H. Rogaar			18xx		000?	male
E.C. Godée Molsbergen	18 september 1875	Utrecht	8 maart 1940	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=gode006	gode006	Everhardus Cornelis	Godée Molsbergen	E.C. Godée Molsbergen	archeoloog/historicus	Utrecht	1875-09-18	Den Haag	3/8/1940	male
